Country,Recovery_Ratio,Death_Ratio,Tests_Ratio
Niger,0.0007517267743454668,0.27055702917771884,0.05719406392253671
Chad,0.0006306519670961711,0.23076923076923078,0.0520286762133817
Burundi,0.00010020431049647282,0.050397877984084884,0.12190385510844191
