,Unnamed: 0,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population,sevearity_cases,Recovery_Ratio,Death_Ratio,Tests_Ratio
0,37,Niger,6115,204,5799,112,242,8,162213,6407,25317186,1936,0.000751726774345,0.270557029177719,0.057194063922537
1,9,Chad,5059,174,4865,20,297,10,147563,8668,17023967,2970,0.000630651967096,0.230769230769231,0.052028676213382
2,5,Burundi,19041,38,773,18230,1543,3,345742,28018,12340090,4629,0.000100204310496,0.050397877984085,0.121903855108442
